Internal ID,Identifier,Expressed,Purified,measured,max rate,mean rate
RBC4_34,gi|1211917243|ref|WP_088518856.1|,True,True,True,7.1,7.1
RBC4_43,gi|1101121291|gb|OIO78882.1|,True,True,True,,
RBC4_56,gi|1232606110|gb|OYY45669.1|,,,False,,
RBC4_62,gi|1057394323|ref|WP_068749566.1|,True,False,False,,
RBC_9,gi|504229317|ref|WP_014416419.1|,True,True,True,10.3,9.15
RBCSeed_33,TARA_137.SAMEA2623295.40.0.22-3_1214112_2,True,True,True,,
RBC_60,gi|495302688|ref|WP_008027438.1|,True,True,True,8.0,7.7
RBCSeed_1,cg_3.0_sub100_scaffold_266_c_6,True,True,False,,
RBC4_63,cg1_0.2_scaffold_79725_c_5,,,True,,
RBC4_68,RIFCSPLOWO2_02_FULL_Rhodospirillales_58_16_rifcsplowo2_02_scaffold_186_85,True,True,True,2.1,2.1
RBC4_44,TARA_137.SAMEA2623295.40.0.22-3_128859_3,True,False,False,,
RBC_91,gi|488794393|ref|WP_002706799.1|,True,True,False,,
RBC4_31,TARA_076.SAMEA2621242.800.0.45-0.8_959814_154,True,True,True,2.8,2.8
RBC4_64,cg2_3.0_scaffold_261_c_14,,,True,0.2,0.2
RBC4_37,gi|1082133811|gb|OFV89986.1|,True,True,True,6.3,6.3
RBC4_52,gi|1054953365|ref|WP_066708018.1|,True,False,False,,
RBC_26,gi|499782958|ref|WP_011463692.1|,,,False,,
RBC4_69,gi|1101235879|gb|OIP83017.1|,True,True,True,4.7,4.7
RBC4_65,gi|1057088213|ref|WP_068489216.1|,,,False,,
RBC_18,gi|488862152|ref|WP_002774391.1|,True,True,True,2.9,2.9
RBC4_42,gi|738612044|ref|WP_036522376.1|,True,True,True,5.2,5.2
RBC4_35,gi|1057103972|ref|WP_068501953.1|,True,True,True,5.5,5.5
RBCSeed_9,gi|1113518724|gb|OJX79267.1|,True,True,True,,
RBC4_29,gi|144900524|emb|CAM77388.1|,True,True,True,8.5,8.5
RBC2_38,gi|568204699|ref|WP_024079063.1|,True,True,True,7.7,6.800000000000001
RBC2_40,gi|751572144|ref|WP_041041009.1|,,,False,,
RBC_45,gi|75449749|sp|Q8RTI2.1|RBL2_MAGMG,True,True,True,6.0,6.0
RBC_43,gi|495889761|ref|WP_008614340.1|,True,True,True,,
RBC2_41,gi|499704342|ref|WP_011385076.1|,,,False,,
RBC2_42,gi|1057024209|ref|WP_068435278.1|,True,True,False,,
RBC2_43,gi|1186171677|ref|WP_085372695.1|,True,True,True,4.9,4.9
RBCSeed_11,gi|1213769432|emb|SBW00154.1|,True,True,False,,
RBC4_46,gi|1082780191|gb|OGA97577.1|,True,False,False,,
RBC_81,gi|655299332|ref|WP_028708174.1|,True,True,True,9.7,9.05
RBC4_39,gi|1053730883|ref|WP_066044871.1|,True,True,True,3.5,3.5
RBCSeed_32,TARA_102.SAMEA2622197.480.0.22-3_1360909_4,True,False,False,,
RBC_21,gi|260072614|gb|ACX30513.1|,True,True,True,,
RBC4_41,TARA_038.SAMEA2620035.340.0.22-1.6_803280_7,True,True,True,5.4,5.4
RBC4_53,cg_0.2_sub10_scaffold_2396_c_6,,,False,,
RBC4_40,gi|1001837624|gb|KXS32221.1|,True,False,True,,
RBC_96,gi|655952301|ref|WP_028995230.1|,True,False,False,,
RBC_76,gi|1072768135|ref|WP_069958099.1|,True,True,True,9.6,9.075
